px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
4.34972	-10.7617	-2.76983	-1.39289	-0.903658	4.44745	-10.786	4.45	-10.8	0	2.72555	0.145644
4.35963	-10.6086	-2.76003	-1.46544	-0.928531	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.629539
4.35874	-10.4615	-2.75017	-1.52443	-0.938959	4.46329	-10.5756	4.45	-10.5	0	2.729	0.350693
4.37695	-10.3104	-2.74511	-1.59084	-0.954928	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.273734
4.40324	-10.1622	-2.73458	-1.65999	-0.976299	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.45759
4.45298	-10.0122	-2.73119	-1.73671	-1.00037	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.593253
4.48453	-9.86772	-2.73043	-1.79127	-0.998182	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.397367
4.54945	-9.72298	-2.73006	-1.86602	-1.01833	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.486706
4.56057	-9.57208	-2.74332	-1.88119	-0.960626	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	1.94343
4.64155	-9.43166	-2.7455	-1.95563	-0.981666	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.668372
4.71682	-9.29753	-2.74411	-2.02186	-0.995853	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.483348
4.82207	-9.15909	-2.75752	-2.10007	-1.01651	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.935037
4.90363	-9.04069	-2.76147	-2.15956	-1.02743	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.141054
4.99463	-8.93083	-2.76298	-2.21858	-1.03442	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.138477
5.0645	-8.80597	-2.75689	-2.24091	-0.982226	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.71453
5.18163	-8.68267	-2.77251	-2.30467	-0.988407	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.528993
5.28015	-8.58125	-2.77486	-2.35465	-0.98726	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.115743
5.39193	-8.47769	-2.78793	-2.40773	-0.988149	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.302219
5.48051	-8.36618	-2.77485	-2.42265	-0.927662	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.11334
5.58787	-8.26476	-2.77197	-2.4675	-0.922578	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.153164
5.66611	-8.14224	-2.75607	-2.4565	-0.829694	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	4.42994
5.79539	-8.03512	-2.77366	-2.50076	-0.825185	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.488957
5.89113	-7.92154	-2.76279	-2.50038	-0.754328	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	2.68244
6.02111	-7.81777	-2.77895	-2.53767	-0.747765	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.434939
6.11521	-7.7026	-2.76356	-2.52433	-0.662773	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	3.85589
6.24271	-7.60471	-2.77372	-2.55592	-0.656786	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.210728
6.34635	-7.49733	-2.76146	-2.54852	-0.587657	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	2.62621
6.46997	-7.40587	-2.76453	-2.57551	-0.582399	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.110626
6.58519	-7.32414	-2.76937	-2.60121	-0.581157	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.74151
6.71213	-7.23578	-2.78738	-2.62335	-0.572612	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.531977
6.78931	-7.10054	-2.7536	-2.55741	-0.419714	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	13.3734
6.9088	-7.00562	-2.75478	-2.57186	-0.411632	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.290957
7.04116	-6.92788	-2.75775	-2.59912	-0.418583	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.0514125
7.16956	-6.83279	-2.76672	-2.6122	-0.408581	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.369624
7.26433	-6.71403	-2.74403	-2.56407	-0.295169	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	7.41969
7.38588	-6.61925	-2.74734	-2.57187	-0.287095	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.237862
7.53381	-6.58058	-2.76681	-2.64552	-0.383228	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	5.51199
7.65609	-6.50628	-2.77241	-2.65973	-0.378257	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.0969657
7.77676	-6.42114	-2.76316	-2.65732	-0.343145	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0.861066
7.90324	-6.35308	-2.75496	-2.67479	-0.342404	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.138099
8.0287	-6.27525	-2.74713	-2.67487	-0.312196	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.591524
8.16023	-6.19618	-2.75044	-2.68444	-0.30483	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.166845
8.25106	-6.09569	-2.72739	-2.63748	-0.206948	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	6.05353
8.36599	-6.01403	-2.73192	-2.63772	-0.197161	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.295869
8.51517	-5.96101	-2.74569	-2.68208	-0.25189	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	2.07877
8.6519	-5.88859	-2.75005	-2.69262	-0.248531	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.0388009
8.75519	-5.78181	-2.7249	-2.641	-0.145459	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	6.97942
8.8823	-5.6965	-2.72812	-2.64011	-0.136844	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.201868
8.97954	-5.60089	-2.71252	-2.59924	-0.0609314	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	3.74888
9.08966	-5.51526	-2.71533	-2.592	-0.0511018	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.287988
9.23073	-5.4555	-2.72688	-2.63056	-0.111843	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	3.44932
9.35883	-5.37091	-2.73067	-2.62948	-0.104904	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.126221
9.45406	-5.25588	-2.7066	-2.56996	-0.0034342	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	6.61673
9.57532	-5.16622	-2.70834	-2.56403	0.00241312	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.092025
9.67828	-5.06024	-2.69387	-2.52019	0.0730321	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	3.45614
9.79249	-4.96479	-2.69413	-2.50955	0.0793259	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.122956
9.88916	-4.84976	-2.68249	-2.46057	0.149592	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	2.99509
